"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","598","get started link","","Wed May 07 18:05:00 UTC 2025","passed","Wed May 07 18:05:00 UTC 2025","","","",""
"","1499","The member logining","","Wed May 07 18:05:12 UTC 2025","passed","Wed May 07 18:05:13 UTC 2025","","","",""
"","7631","Login and add employees from Excel","","Wed May 07 18:04:52 UTC 2025","passed","Wed May 07 18:04:59 UTC 2025","","","",""
"Ce test vérifie la connexion avec des identifiants valides.","132570","member login","Automation Project","Wed May 07 14:50:30 UTC 2025","passed","Wed May 07 14:52:42 UTC 2025","Authentification Yes","OrangeHrm","",""
"Ce test est Pour Gérer un nouvel onglet et revenir à la page principale .","4397","Gérer un nouvel onglet et revenir à la page principale","Automation Project","Wed May 07 18:05:00 UTC 2025","passed","Wed May 07 18:05:05 UTC 2025","Add Employees With excelFiles","OrangeHrm","",""
"Ce test est spécialement pour ajouter tous les employés via un fichier excel déjà rempli .","2584","Accéder sur le site et s'authentifier","Automation Project","Wed May 07 18:05:24 UTC 2025","passed","Wed May 07 18:05:26 UTC 2025","authentification & saisir les données dans la page pim","OrangeHrm","",""
"Ce test vérifie la connexion avec des identifiants valides.","7043","Connexion utilisateur valide","Automation Project","Wed May 07 18:05:05 UTC 2025","passed","Wed May 07 18:05:12 UTC 2025","Authentification","OrangeHrm","",""
"Ce test est le premier aprés avoir initier le projet .","383","has title","Automation Project","Wed May 07 18:04:59 UTC 2025","passed","Wed May 07 18:05:00 UTC 2025","First test","playwright","",""
"Ce test a pour but d'ouvrire une nouvelle fenêtre et maîtriser les checkBox / buton radio .","14814","Test automatisé Playwright","Automation Project","Wed May 07 18:05:47 UTC 2025","failed","Wed May 07 18:06:02 UTC 2025","New window","OrangeHrm","",""
"Ce test est spécialement pour ajouter tous les employés via un fichier excel déjà rempli .","19017","Login and add all employees from file Excel","Automation Project","Wed May 07 18:05:04 UTC 2025","passed","Wed May 07 18:05:23 UTC 2025","Add Employees With excelFiles","OrangeHrm","",""
