"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Ce test vérifie la connexion avec des identifiants valides.","132570","member login","Automation Project","Wed May 07 14:50:30 UTC 2025","passed","Wed May 07 14:52:42 UTC 2025","Authentification Yes","OrangeHrm","",""
"","1526","The member logining","","Wed May 07 18:21:29 UTC 2025","passed","Wed May 07 18:21:30 UTC 2025","","","",""
"Ce test est spécialement pour ajouter tous les employés via un fichier excel déjà rempli .","2528","Accéder sur le site et s'authentifier","Automation Project","Wed May 07 18:21:39 UTC 2025","passed","Wed May 07 18:21:41 UTC 2025","authentification & saisir les données dans la page pim","OrangeHrm","",""
"","7889","Login and add employees from Excel","","Wed May 07 18:21:08 UTC 2025","passed","Wed May 07 18:21:16 UTC 2025","","","",""
"Ce test est le premier aprés avoir initier le projet .","407","has title","Automation Project","Wed May 07 18:21:16 UTC 2025","passed","Wed May 07 18:21:17 UTC 2025","First test","playwright","",""
"Ce test est Pour Gérer un nouvel onglet et revenir à la page principale .","4350","Gérer un nouvel onglet et revenir à la page principale","Automation Project","Wed May 07 18:21:17 UTC 2025","passed","Wed May 07 18:21:22 UTC 2025","Add Employees With excelFiles","OrangeHrm","",""
"Ce test est spécialement pour ajouter tous les employés via un fichier excel déjà rempli .","17798","Login and add all employees from file Excel","Automation Project","Wed May 07 18:21:20 UTC 2025","passed","Wed May 07 18:21:38 UTC 2025","Add Employees With excelFiles","OrangeHrm","",""
"Ce test a pour but d'ouvrire une nouvelle fenêtre et maîtriser les checkBox / buton radio .","14741","Test automatisé Playwright","Automation Project","Wed May 07 18:22:02 UTC 2025","failed","Wed May 07 18:22:17 UTC 2025","New window","OrangeHrm","",""
"Ce test vérifie la connexion avec des identifiants valides.","6972","Connexion utilisateur valide","Automation Project","Wed May 07 18:21:22 UTC 2025","passed","Wed May 07 18:21:29 UTC 2025","Authentification","OrangeHrm","",""
"","692","get started link","","Wed May 07 18:21:17 UTC 2025","passed","Wed May 07 18:21:17 UTC 2025","","","",""
