"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Ce test est spécialement pour ajouter tous les employés via un fichier excel déjà rempli .","3058","Accéder sur le site et s'authentifier","Automation Project","Tue Jun 10 15:15:40 UTC 2025","passed","Tue Jun 10 15:15:43 UTC 2025","authentification & saisir les données dans la page pim","OrangeHrm","",""
"Ce test est spécialement pour ajouter tous les employés via un fichier excel déjà rempli .","20355","Login and add all employees from file Excel","Automation Project","Tue Jun 10 15:15:05 UTC 2025","passed","Tue Jun 10 15:15:26 UTC 2025","Add Employees With excelFiles","OrangeHrm","",""
"Ce test vérifie que la connexion échoue avec un mauvais mot de passe.","5745","❌ Connexion échouée avec un mot de passe invalide","AutomationExe Project","Tue Jun 10 15:15:13 UTC 2025","passed","Tue Jun 10 15:15:19 UTC 2025","Authentification","AutomationExe","",""
"","616","get started link","","Tue Jun 10 15:15:02 UTC 2025","passed","Tue Jun 10 15:15:03 UTC 2025","","","",""
"Ce test a pour but d'ouvrire une nouvelle fenêtre et maîtriser les checkBox / buton radio .","8188","Test automatisé Playwright","Automation Project","Tue Jun 10 15:15:32 UTC 2025","passed","Tue Jun 10 15:15:40 UTC 2025","New window","OrangeHrm","",""
"","1033","Ouvrir un vounel onglet avec playwright","","Tue Jun 10 15:15:32 UTC 2025","passed","Tue Jun 10 15:15:33 UTC 2025","","","",""
"Ce test vérifie la connexion avec des identifiants valides.","7110","Connexion utilisateur valide","Automation Project","Tue Jun 10 15:15:19 UTC 2025","passed","Tue Jun 10 15:15:26 UTC 2025","Authentification","OrangeHrm","",""
"Ce test est Pour Gérer un nouvel onglet et revenir à la page principale .","4551","Gérer un nouvel onglet et revenir à la page principale","Automation Project","Tue Jun 10 15:15:03 UTC 2025","passed","Tue Jun 10 15:15:07 UTC 2025","Add Employees With excelFiles","OrangeHrm","",""
"","8671","Login and add employees from Excel","","Tue Jun 10 15:14:52 UTC 2025","passed","Tue Jun 10 15:15:00 UTC 2025","","","",""
"","30105","Créer un compte visiteur Rakuten","","Tue Jun 10 15:16:44 UTC 2025","broken","Tue Jun 10 15:17:14 UTC 2025","","","",""
"Ce test vérifie le bon déroulement d'un parcous d'achat complet.","9679","✔ Connexion d’un utilisateur existant avec des identifiants valides","AutomationExe Project","Tue Jun 10 15:15:33 UTC 2025","passed","Tue Jun 10 15:15:43 UTC 2025","Parcours d'achat","AutomationExe","",""
"Ce test est le premier aprés avoir initier le projet .","412","has title","Automation Project","Tue Jun 10 15:15:01 UTC 2025","passed","Tue Jun 10 15:15:02 UTC 2025","First test","playwright","",""
"Ce test vérifie la connexion avec des identifiants valides via fixture LoginPage.","4975","Connexion avec identifiants valides","Automation Project","Tue Jun 10 15:15:27 UTC 2025","passed","Tue Jun 10 15:15:32 UTC 2025","Authentification","OrangeHrm","",""
"Ce test vérifie la récupération de tous les produits avec la méthode Get All.","854","🧪 API - Obtenir Tous les Produits - devrait retourner une liste de produits avec une structure valide","Test Api","Tue Jun 10 15:15:01 UTC 2025","passed","Tue Jun 10 15:15:01 UTC 2025","Get All","Récupérer une liste de produits","",""
"","1764","The member logining","","Tue Jun 10 15:15:26 UTC 2025","passed","Tue Jun 10 15:15:28 UTC 2025","","","",""
"","2829","Connexion rapide avec méthode loginToApplication()","","Tue Jun 10 15:15:28 UTC 2025","passed","Tue Jun 10 15:15:31 UTC 2025","Authentification OrangeHRM avec l'utilisation des Fixtures ","","",""
"","965","Ouvrir une nouvelle fenêtre avec playwright","","Tue Jun 10 15:15:31 UTC 2025","passed","Tue Jun 10 15:15:32 UTC 2025","","","",""
"Ce test vérifie l'authentification avec des identifiants valides.","6024","✔ Connexion d’un utilisateur existant avec des identifiants valides","AutomationExe Project","Tue Jun 10 15:15:07 UTC 2025","passed","Tue Jun 10 15:15:13 UTC 2025","Authentification","AutomationExe","",""
